type,asin,title,author,narrator,genre,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
monthly,B0B8QCSL8K,Love Bites,Lynsay Sands,Lisa Flanagan,,9.1,4.8,115,7.99,26.09,https://m.media-amazon.com/images/I/51Y3+uxc9WL._SL500_.jpg,https://www.audible.com/pd/B0B8QCSL8K
monthly,B0F8XLX1RS,Call of the Camino,Suzanne Redfearn,"Cynthia Farrell,M.L. Sanchez",,8.0,4.5,285,5.99,19.59,https://m.media-amazon.com/images/I/51A1mVA4c4L._SL500_.jpg,https://www.audible.com/pd/B0F8XLX1RS
monthly,B0C923DDD2,Has Anyone Seen Charlotte Salter?,Nicci French,Jane Collingwood,,12.6,4.4,357,7.99,29.69,https://m.media-amazon.com/images/I/51Rl5R85FcL._SL500_.jpg,https://www.audible.com/pd/B0C923DDD2
monthly,B0F19Z2S8K,"Just Visiting This Planet, Revised and Updated for the Twenty-First Century",Neil deGrasse Tyson,"André Santana,Liam Gerrard,Em Grosland,Pun Bandhu,Lauren Fortgang,Luzma Ortiz,Jim Meskimen,Jennifer Aquino,Soneela Nankani,Jaime Lincoln Smith,Bronson Pinchot,Natalie Naudus,Neil deGrasse Tyson",,5.6,4.5,28,5.99,16.51,https://m.media-amazon.com/images/I/51zC-JXI4bL._SL500_.jpg,https://www.audible.com/pd/B0F19Z2S8K
monthly,B0CQMGG3Y1,The Survivor Wants to Die at the End,Adam Silvera,"Frankie J. Alvarez,Kyla Garcia,Anthony Rey Perez",,17.8,4.4,149,6.99,35.99,https://m.media-amazon.com/images/I/51Gg082zX5L._SL500_.jpg,https://www.audible.com/pd/B0CQMGG3Y1
monthly,B0CCW6HH7Y,The Moment,Bakari Sellers,Bakari Sellers,,4.5,4.8,79,5.99,17.99,https://m.media-amazon.com/images/I/41tDBYmfXqL._SL500_.jpg,https://www.audible.com/pd/B0CCW6HH7Y
monthly,B0F8PBN99L,The Best of Us,Brittney Sahin,"Christian Fox,Ava Lucas,Connor Crais,Tim Paige,Liam DiCosimo",,13.6,4.8,254,6.99,22.79,https://m.media-amazon.com/images/I/518TvzwTz4L._SL500_.jpg,https://www.audible.com/pd/B0F8PBN99L
monthly,B0BKH8GL7P,Welcome to Beach Town,Susan Wiggs,Brittany Pressley,,10.6,4.5,151,7.99,26.09,https://m.media-amazon.com/images/I/51VlD9MfWIL._SL500_.jpg,https://www.audible.com/pd/B0BKH8GL7P
monthly,B0BCHCN36B,With My Little Eye,Joshilyn Jackson,"Joshilyn Jackson,Maisy Jane,Graham Halstead,Jeremy Arthur,Jesse Vilinsky,Michael Crouch",,12.6,4.2,255,7.99,29.69,https://m.media-amazon.com/images/I/51y0rvtvX1L._SL500_.jpg,https://www.audible.com/pd/B0BCHCN36B
monthly,B0CRWSNYPQ,A Poetry Handbook,Mary Oliver,Kimberly Farr,,3.5,4.4,19,5.99,16.19,https://m.media-amazon.com/images/I/41beAPL980L._SL500_.jpg,https://www.audible.com/pd/B0CRWSNYPQ
monthly,B0DDZN8327,The Lies of Vampires and Slayers,K. M. Shea,"Amelia Hugh,Cody Roberts",,10.6,4.8,210,6.99,24.95,https://m.media-amazon.com/images/I/51OcGE9XqHL._SL500_.jpg,https://www.audible.com/pd/B0DDZN8327
monthly,B0D2DW45G9,Dimensional Dungeon Cores Complete Series: Books 1-5,Jonathan Brooks,"Miles Meili,Louise Cooksey",,60.6,4.5,160,5.99,31.98,https://m.media-amazon.com/images/I/51vYfHbEkeL._SL500_.jpg,https://www.audible.com/pd/B0D2DW45G9
monthly,B0FFCCMTBD,Call of the Fathoms,Emma Hamm,"Will M. Watt,Carmen Rose",,11.7,4.8,167,6.99,21.62,https://m.media-amazon.com/images/I/510JgrLHshL._SL500_.jpg,https://www.audible.com/pd/B0FFCCMTBD
monthly,B0CJD6VKV8,Midnight in Moscow,"John J. Sullivan,Jim Mattis - introduction","John J. Sullivan,Matt Godfrey",,18.0,4.3,62,6.99,35.09,https://m.media-amazon.com/images/I/51eYkNf91+L._SL500_.jpg,https://www.audible.com/pd/B0CJD6VKV8
monthly,B0CQ8ZRVJT,Fools on the Hill,Dana Milbank,Dana Milbank,,11.9,4.5,62,6.99,25.19,https://m.media-amazon.com/images/I/51OMDPEfGdL._SL500_.jpg,https://www.audible.com/pd/B0CQ8ZRVJT
monthly,B0C7673F17,Uncover Your Authentic Self Through Shadow Work,Kristina Rosen,Leah Fulton,,4.4,4.9,72,5.99,14.05,https://m.media-amazon.com/images/I/51h+NZIB5fL._SL500_.jpg,https://www.audible.com/pd/B0C7673F17
monthly,B07X2HP29C,Get Out of Your Head,Brian Sachetta,Brian Sachetta,,6.8,4.7,85,5.99,16.54,https://m.media-amazon.com/images/I/41xz59q85aL._SL500_.jpg,https://www.audible.com/pd/B07X2HP29C
monthly,B0D8TPS64H,Four Letters of Love,Niall Williams,Niall Williams,,10.6,4.8,125,5.99,20.48,https://m.media-amazon.com/images/I/41f07zetijL._SL500_.jpg,https://www.audible.com/pd/B0D8TPS64H
monthly,0829747354,Finanzas bíblicas,Héctor Salcedo,Efrain Gomez,,5.0,4.9,104,5.99,17.99,https://m.media-amazon.com/images/I/41zw83iehSL._SL500_.jpg,https://www.audible.com/pd/0829747354
monthly,B0FNFBNWQ7,The Streets & the Pulpit: Loving in My World Is Never Easy,Tatiana Timmons,"Nicole Small,Winston James",,3.8,4.8,168,4.99,13.62,https://m.media-amazon.com/images/I/41jR1Ql587L._SL500_.jpg,https://www.audible.com/pd/B0FNFBNWQ7
monthly,B0DZDBM7FF,Bedtime Stories for Stressed Out Adults (5 in 1),Sleepy Willow,"Juanelle Louise Holl,Julian Pearson,Kevin Perkins,Sasha Jones",,76.4,4.9,52,5.99,32.64,https://m.media-amazon.com/images/I/61Frmh34hzL._SL500_.jpg,https://www.audible.com/pd/B0DZDBM7FF
monthly,B0DX3QJ2KH,Royal Dragons,"Marcus Sloss,Jace Cannon","Jonathan Waters,Amber Hartt",,21.0,4.6,222,5.99,31.98,https://m.media-amazon.com/images/I/51+3kMAZX0L._SL500_.jpg,https://www.audible.com/pd/B0DX3QJ2KH
monthly,B0D23RYSXQ,Reconstruction Updated Edition,Eric Foner,Grover Gardner,,31.5,4.4,32,7.99,47.69,https://m.media-amazon.com/images/I/51JFSnfwgFL._SL500_.jpg,https://www.audible.com/pd/B0D23RYSXQ
monthly,B0FMS8Y85M,A Dagger of Ice and Intrigue,Vera Raye,"Kelli Tager,Christopher Tester",,16.4,4.5,148,6.99,25.72,https://m.media-amazon.com/images/I/61lgS-8p+zL._SL500_.jpg,https://www.audible.com/pd/B0FMS8Y85M
monthly,B0CS3YLQY2,"Hey, Jesus, It’s Me",Ellen Skrmetti,Ellen Skrmetti,,3.5,4.9,100,5.99,17.09,https://m.media-amazon.com/images/I/41P++AaxQGL._SL500_.jpg,https://www.audible.com/pd/B0CS3YLQY2
monthly,B0CWPSKPSZ,The Weary Dragon Inn Books 1-3,S. Usher Evans,Deborah Balm,,18.6,4.4,147,6.99,26.11,https://m.media-amazon.com/images/I/51HZJI5XWlL._SL500_.jpg,https://www.audible.com/pd/B0CWPSKPSZ
monthly,B075XSVZ52,Administración del tiempo,Brian Tracy,Johnny Pena,,2.7,4.8,116,4.99,16.19,https://m.media-amazon.com/images/I/41+foj7nNQL._SL500_.jpg,https://www.audible.com/pd/B075XSVZ52
monthly,B0FXMVY8PK,The Villain,Natasha Knight,"James Cassidy,Nikki Grey",,8.2,4.5,84,5.99,19.59,https://m.media-amazon.com/images/I/41thwzHV9VL._SL500_.jpg,https://www.audible.com/pd/B0FXMVY8PK
monthly,B0BHF8B32H,The Little Italian Hotel,Phaedra Patrick,Callie Louise,,8.3,4.2,139,6.99,25.19,https://m.media-amazon.com/images/I/61qZY4H1RQL._SL500_.jpg,https://www.audible.com/pd/B0BHF8B32H
monthly,B0BT78CK4N,I Didn't Know I Needed This,Eli Rallo,Eli Rallo,,9.3,4.4,58,7.99,26.09,https://m.media-amazon.com/images/I/41XqfbIVg3L._SL500_.jpg,https://www.audible.com/pd/B0BT78CK4N
