region,type,asin,title,author,narrator,genre,categories,tags,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
us,cash,B09F8JM5RP,Nice White Ladies,Jessie Daniels,Jessie Daniels,Politics & Social Sciences,Politics & Social Sciences; Anthropology; Social Sciences; Gender Studies; Racism & Discrimination,,11.1,4.6,68,6.99,25.19,https://m.media-amazon.com/images/I/31fJ0QD966L._SL500_.jpg,https://www.audible.com/pd/B09F8JM5RP
us,cash,1400225329,The Five-Week Leadership Challenge,"Patrick R. Leddin,Stephen M.R. Covey - introduction",Patrick R Leddin,Business & Careers,Business & Careers; Management & Leadership; Leadership; Business Development & Entrepreneurship; Entrepreneurship; New Business Enterprises; Workplace & Organizational Behavior; Workplace Culture,,4.9,4.9,14,6.99,18.89,https://m.media-amazon.com/images/I/411xVz2hQnS._SL500_.jpg,https://www.audible.com/pd/1400225329
us,cash,0062975803,Queens of Fennbirn,Kendare Blake,Amy Landon,Teen & Young Adult,Teen & Young Adult; Literature & Fiction; Anthologies & Short Stories; Family & Relationships; Family; Science Fiction & Fantasy; Fantasy; Epic; Magical Realism,,5.6,4.6,174,6.99,21.59,https://m.media-amazon.com/images/I/41VCe4j5vuL._SL500_.jpg,https://www.audible.com/pd/0062975803
us,cash,B01DFK5EY8,Cold Barrel Zero,Matthew Quirk,Peter Coleman,Literature & Fiction,"Literature & Fiction; Genre Fiction; War & Military; Mystery, Thriller & Suspense; Crime Fiction; Thriller & Suspense; Legal; Military; Spies & Politics; Espionage; Political",,9.6,4.2,131,7.99,25.19,https://m.media-amazon.com/images/I/51mttwmNZnL._SL500_.jpg,https://www.audible.com/pd/B01DFK5EY8
us,cash,0062974726,Yes No Maybe So,"Becky Albertalli,Aisha Saeed","Tiya Sircar,Michael Crouch",Teen & Young Adult,Teen & Young Adult; Literature & Fiction; Difficult Situations; Racism & Discrimination; Romance; Contemporary,,10.9,4.2,274,6.99,26.09,https://m.media-amazon.com/images/I/51WWURmpwOL._SL500_.jpg,https://www.audible.com/pd/0062974726
us,cash,B0092QU4I6,The Secret Circle: The Hunt,L. J. Smith,Devon Sorvari,Teen & Young Adult,"Teen & Young Adult; Literature & Fiction; Horror; Mystery, Thriller & Suspense; Paranormal; Romance; Science Fiction & Fantasy; Fantasy",,6.1,4.4,169,6.99,21.59,https://m.media-amazon.com/images/I/51qO3cwjHXL._SL500_.jpg,https://www.audible.com/pd/B0092QU4I6
us,cash,B0CB1NKKPK,On the Shore,Laura Pavlov,"Erin Mallon,Joe Arden",Romance,Romance; Contemporary; Sports,Literature & Fiction,7.7,4.7,539,7.99,17.57,https://m.media-amazon.com/images/I/51JjcYWVLmL._SL500_.jpg,https://www.audible.com/pd/B0CB1NKKPK
us,cash,B0DW1JRDDN,Chev's Mate,Invi Wright,"David Vasquez,Apple Young",Erotica,Erotica; Literature & Fiction; Romantic; Romance; Fantasy; Science Fiction & Fantasy; Science Fiction; Dystopian,,9.5,4.4,45,6.99,19.49,https://m.media-amazon.com/images/I/41pCQsjOCeL._SL500_.jpg,https://www.audible.com/pd/B0DW1JRDDN
us,cash,B0BSB69N9J,Stock Market 101,Michele Cagan CPA,Krystal Hammond,Money & Finance,Money & Finance; Investing & Trading; Analysis & Strategy; Stocks; Personal Finance,,8.8,4.4,9,6.99,18.74,https://m.media-amazon.com/images/I/51zNAJoHWFL._SL500_.jpg,https://www.audible.com/pd/B0BSB69N9J
us,cash,0063113392,Lady Killers,Tori Telfer,Jaime Lamchick,Biographies & Memoirs,Biographies & Memoirs; True Crime; Murder; Serial Killers; History; Women; Politics & Social Sciences; Law; Social Sciences; Criminology,,8.4,4.4,118,5.99,23.39,https://m.media-amazon.com/images/I/51F+HnCp6SL._SL500_.jpg,https://www.audible.com/pd/0063113392
us,cash,B0B4DXLP8H,The Family-First Entrepreneur,Steve Chou,Steve Chou,Business & Careers,Business & Careers; Business Development & Entrepreneurship; Entrepreneurship; Small Business,,7.7,4.8,29,6.99,23.39,https://m.media-amazon.com/images/I/4172rv6QJ5L._SL500_.jpg,https://www.audible.com/pd/B0B4DXLP8H
us,cash,B0CMD8ZT59,"Jasiel, the King Who Got Me",Miss Jenesequa,"Nia Serge,Winston James",Literature & Fiction,Literature & Fiction; African American; Romance; Contemporary,opposites_attract,5.0,4.7,665,5.99,14.63,https://m.media-amazon.com/images/I/41trUOONYVL._SL500_.jpg,https://www.audible.com/pd/B0CMD8ZT59
us,cash,B09CF14FKD,Ranger's Dawn,Selkie Myth,Andrea Emmes,Science Fiction & Fantasy,Science Fiction & Fantasy; Fantasy; Action & Adventure; Dragons & Mythical Creatures; Epic; Paranormal & Urban; Paranormal; Urban,,17.3,4.8,623,7.99,25.98,https://m.media-amazon.com/images/I/516kaqHw1PL._SL500_.jpg,https://www.audible.com/pd/B09CF14FKD
us,cash,1797105280,To Have and to Hoax,Martha Waters,"Anais Inara Chase,Joel Froomkin",Literature & Fiction,Literature & Fiction; Historical Fiction; Romance; Historical; Regency; Romantic Comedy,,10.8,3.7,127,6.99,19.49,https://m.media-amazon.com/images/I/41jVuEod0RL._SL500_.jpg,https://www.audible.com/pd/1797105280
us,cash,0063078554,Girls of Flight City,Lorraine Heath,Xe Sands,Literature & Fiction,Literature & Fiction; Historical Fiction; 20th Century; World War II & Holocaust; Women's Fiction; Romance; Historical,,9.5,4.7,211,5.99,26.09,https://m.media-amazon.com/images/I/51zQ9dx-WsL._SL500_.jpg,https://www.audible.com/pd/0063078554
us,cash,B06Y49MHQH,House of Furies,Madeleine Roux,Billie Fulford-Brown,Literature & Fiction,Literature & Fiction; Horror; Teen & Young Adult; Historical Fiction; Science Fiction & Fantasy; Fantasy; Historical,,8.6,4.3,162,5.99,23.39,https://m.media-amazon.com/images/I/51rrvTDIUKL._SL500_.jpg,https://www.audible.com/pd/B06Y49MHQH
us,cash,B09DTF7ZDF,The American Adventuress,C. W. Gortner,Ell Potter,Literature & Fiction,Literature & Fiction; Genre Fiction; Biographical Fiction; Historical Fiction; 20th Century; World War I; Women's Fiction,,13.0,4.5,114,5.99,29.69,https://m.media-amazon.com/images/I/51KsLe0i9YL._SL500_.jpg,https://www.audible.com/pd/B09DTF7ZDF
us,cash,B07FM9KH63,RISK!,Kevin Allison,"Kevin Allison,Sarah Mollo-Christensen,Robin Miles",Biographies & Memoirs,"Biographies & Memoirs; Computers & Technology; Content Creation & Social Media; Literature & Fiction; Essays; Relationships, Parenting & Personal Development; Relationships; Comedy & Humor",,10.9,4.5,130,6.99,25.19,https://m.media-amazon.com/images/I/41tb5kZZZPL._SL500_.jpg,https://www.audible.com/pd/B07FM9KH63
us,cash,B0C5JVP9C5,F the Fairy Tale,Damona Hoffman,Damona Hoffman,"Relationships, Parenting & Personal Development","Relationships, Parenting & Personal Development; Relationships; Love, Dating & Attraction",,7.3,4.5,28,6.99,22.49,https://m.media-amazon.com/images/I/414PkKlmrML._SL500_.jpg,https://www.audible.com/pd/B0C5JVP9C5
us,cash,B0D4B9QMJD,The Longest Winter,Alex Kershaw,Grover Gardner,History,History; Military; Wars & Conflicts; World War II; Military Science; Modern; 20th Century,,9.7,4.6,37,6.99,25.19,https://m.media-amazon.com/images/I/51+4fc3JLQL._SL500_.jpg,https://www.audible.com/pd/B0D4B9QMJD
us,cash,B014VBZWSS,Hubris,Alistair Horne,James Adams,History,History; Military; Wars & Conflicts; World War II; Weapons & Warfare; Nuclear Warfare; World; Modern; 20th Century,,12.5,4.5,175,6.99,29.69,https://m.media-amazon.com/images/I/61aOv9GWOuL._SL500_.jpg,https://www.audible.com/pd/B014VBZWSS
